Name,Total Quantity,Total Cost,Total Cost BGN,Average Price,Currency,Date
ABB,4.446,126.78,237.69,28.52,CHF,2021-12-08 08:00:50
ASML Holding,0.216,109.58,214.32,506.7,EUR,2021-12-08 08:00:09
AstraZeneca,1.315,102.05,233.16,77.62,GBP,2021-12-08 08:00:34
LVMH,0.19,109.25,213.67,575.56,EUR,2021-12-08 08:00:13
SAP SE,1.048,117.37,229.56,112.04,EUR,2021-12-08 08:00:27
Adyen NV,0.055,109.58,214.32,2006.94,EUR,2021-12-08 08:00:22
Vodafone Group,77.568,95.22,217.56,1.23,GBP,2021-12-08 08:00:33
Vanguard S&P 500 ETF,1.924,113.38,259.05,58.94,GBP,2021-12-08 08:00:35
iShares Global Clean Energy,9.669,99.25,226.76,10.27,GBP,2021-12-08 08:00:35
Vanguard FTSE All-World High Dividend Yield,2.612,116.83,266.93,44.72,GBP,2021-12-08 08:01:01
AT&T,2.906,80.41,139.19,27.67,USD,2021-12-08 15:32:32
Pfizer,2.039,80.41,139.19,39.44,USD,2021-12-08 15:32:21
Apple,0.69,93.81,162.38,135.87,USD,2021-12-08 15:32:21
Broadcom ,0.165,80.41,139.19,488.18,USD,2021-12-08 15:32:21
Procter & Gamble,0.589,80.41,139.19,136.52,USD,2021-12-08 15:32:21
Sony Group,0.968,103.52,179.19,106.98,USD,2021-12-08 15:33:09
Coca-Cola,1.77,93.81,162.38,52.99,USD,2021-12-08 15:32:37
Domino's Pizza Group,19.207,68.59,156.71,3.57,GBP,2021-12-08 15:36:40
Hyliion Holdings,0.086,1.4,2.42,16.4,USD,2021-02-01 15:05:09
Sea Limited,0.078,23.11,40.0,296.11,USD,2021-12-08 15:31:43
Five9,0.085,15.41,26.67,180.66,USD,2021-12-08 15:31:38
Canadian Solar,0.594,23.11,40.0,38.89,USD,2021-12-08 15:31:51
MP Materials,0.437,15.41,26.67,35.23,USD,2021-12-08 15:31:38
Etsy,0.074,15.41,26.67,207.31,USD,2021-12-08 15:31:47
Palantir,0.661,15.41,26.67,23.32,USD,2021-12-08 15:31:43
Fiverr International,0.083,15.41,26.67,185.08,USD,2021-12-08 15:31:44
Mercado Libre,0.009,15.41,26.67,1699.54,USD,2021-12-08 15:32:16
Enphase Energy,0.134,23.11,40.0,172.41,USD,2021-12-08 15:31:38
Albemarle,0.076,15.41,26.67,203.26,USD,2021-12-08 15:31:39
eXp World Holdings,0.34,15.41,26.67,45.35,USD,2021-12-08 15:31:40
Delta Air Lines,0.553,23.11,40.0,41.82,USD,2021-12-08 15:31:37
Cloudflare,0.215,23.11,40.0,107.59,USD,2021-12-08 15:31:37
Advanced Micro Devices,0.224,23.11,40.0,103.05,USD,2021-12-08 15:31:36
JPMorgan Chase,0.147,23.11,40.0,156.91,USD,2021-12-08 15:31:36
Unity Software,0.199,23.11,40.0,116.04,USD,2021-12-08 15:31:39
Fastly,0.491,23.11,40.0,47.03,USD,2021-12-08 15:31:38
Adobe Systems,0.038,23.11,40.0,601.03,USD,2021-12-08 15:31:41
Shopify,0.016,23.11,40.0,1443.46,USD,2021-12-08 15:31:37
Twilio,0.065,23.11,40.0,358.29,USD,2021-12-08 15:31:48
SolarEdge Technologies,0.082,23.11,40.0,281.39,USD,2021-12-08 15:31:44
ANSYS,0.062,23.11,40.0,372.63,USD,2021-12-08 15:31:40
Nvidia,0.089,23.11,40.0,258.57,USD,2021-12-08 15:31:37
Teladoc,0.104,15.41,26.67,148.4,USD,2021-12-08 15:31:39
Paycom Software,0.052,23.11,40.0,444.78,USD,2021-12-08 15:32:08
Lemonade,0.202,15.41,26.67,76.3,USD,2021-12-08 15:31:38
Autodesk,0.076,23.11,40.0,302.33,USD,2021-12-08 15:31:37
Redfin,0.272,15.41,26.67,56.72,USD,2021-12-08 15:31:45
Penn National Gaming,0.198,15.41,26.67,77.74,USD,2021-12-08 15:31:38
Tesla,0.031,23.11,40.0,745.32,USD,2021-12-08 15:31:37
StoneCo,0.503,23.11,40.0,45.97,USD,2021-12-08 15:31:43
Caesars Entertainment,0.16,15.41,26.67,96.53,USD,2021-12-08 15:31:36
Alibaba,0.123,23.11,40.0,188.27,USD,2021-12-08 15:31:40
Upwork,0.329,15.41,26.67,46.79,USD,2021-12-08 15:31:40
Pinterest,0.385,23.11,40.0,60.07,USD,2021-12-08 15:31:47
NIO Inc,0.568,23.11,40.0,40.72,USD,2021-12-08 15:31:37
Block,0.088,23.11,40.0,263.42,USD,2021-12-08 15:31:39
